Term	fdr	es	nes	gene %	lead_genes
aerobic electron transport chain (GO:0019646)	0.0	0.7262964725146475	3.4994881308874426	20.34%	NDUFA7;COX4I2;NDUFA1;NDUFA13;NDUFB8;NDUFB7;COX5B;UQCRQ;NDUFA8;COX8A;NDUFS5;NDUFB3;NDUFB10;NDUFB1;NDUFS8;NDUFS6;NDUFB6;NDUFAB1;UQCR11;COX6B1;COX5A;NDUFA3;CYC1;NDUFC1;COX7B;NDUFA4;NDUFB11;NDUFA6;NDUFB2;UQCR10;COX6C;NDUFA11;UQCRH;NDUFS7;NDUFA12;NDUFC2;NDUFB9;NDUFB4;UQCRHL;UQCRC1;SDHA;NDUFV1;SDHAF2;NDUFA2;NDUFAF1;NDUFS4;COX6A1;UQCRFS1;NDUFA9;NDUFS3;SDHD;NDUFV2;COX4I1
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	0.0	0.719112878658168	3.4715932320263865	20.34%	NDUFA7;COX4I2;NDUFA1;NDUFA13;NDUFB8;NDUFB7;COX5B;UQCRQ;NDUFA8;COX8A;NDUFS5;NDUFB3;NDUFB10;NDUFB1;NDUFS8;NDUFS6;NDUFB6;NDUFAB1;UQCR11;COX6B1;COX5A;NDUFA3;CYC1;NDUFC1;COX7B;NDUFA4;NDUFB11;NDUFA6;NDUFB2;UQCR10;COX6C;NDUFA11;UQCRH;NDUFS7;NDUFA12;NDUFC2;NDUFB9;NDUFB4;UQCRHL;UQCRC1;SDHA;NDUFV1;SDHAF2;NDUFA2;NDUFAF1;NDUFS4;COX6A1;UQCRFS1;NDUFA9;NDUFS3;SDHD;NDUFV2;COX4I1
muscle contraction (GO:0006936)	0.0	0.7233364777364074	3.420853125064674	5.58%	ACTA1;CRYAB;HRC;TCAP;TNNC1;LMOD2;CKMT2;ANKRD2;ALDOA;FXYD1;TNNT2;TMOD1;MYOM1;TNNT1;KCNIP2;DYSF;MYOT;MYL9;MYH11;SLC8A1;LMOD1;SSPN;TPM2;ACTA2;TPM1;GNAO1;SNTA1;TMOD2
NADH dehydrogenase complex assembly (GO:0010257)	0.0	0.7120137306149834	3.247331356673519	19.75%	NDUFA7;NDUFA1;NDUFA13;NDUFB8;NDUFB7;NDUFA8;NDUFS5;NDUFB3;NDUFB10;NDUFB1;NDUFS8;NDUFS6;NDUFB6;NDUFAB1;NDUFA3;NDUFC1;NDUFB11;NDUFA6;NDUFB2;TMEM126A;NDUFA11;NDUFS7;NDUFA12;NDUFC2;NDUFB9;TIMMDC1;NDUFAF3;NDUFB4;NDUFV1;NDUFA2;NDUFAF1;NDUFS4;NDUFAF8;ECSIT;NDUFA9;NDUFS3;NDUFAF4;BCS1L;NDUFV2
mitochondrial respiratory chain complex I assembly (GO:0032981)	0.0	0.7120137306149834	3.247331356673519	19.75%	NDUFA7;NDUFA1;NDUFA13;NDUFB8;NDUFB7;NDUFA8;NDUFS5;NDUFB3;NDUFB10;NDUFB1;NDUFS8;NDUFS6;NDUFB6;NDUFAB1;NDUFA3;NDUFC1;NDUFB11;NDUFA6;NDUFB2;TMEM126A;NDUFA11;NDUFS7;NDUFA12;NDUFC2;NDUFB9;TIMMDC1;NDUFAF3;NDUFB4;NDUFV1;NDUFA2;NDUFAF1;NDUFS4;NDUFAF8;ECSIT;NDUFA9;NDUFS3;NDUFAF4;BCS1L;NDUFV2
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	0.0	0.7583267771571873	3.185408208462884	19.75%	NDUFA7;NDUFA1;NDUFA13;NDUFB8;NDUFB7;NDUFA8;NDUFS5;NDUFB3;NDUFB10;NDUFB1;NDUFS8;NDUFS6;NDUFB6;NDUFAB1;NDUFA3;NDUFC1;NDUFA4;NDUFB11;NDUFA6;NDUFB2;NDUFA11;NDUFS7;NDUFA12;NDUFC2;NDUFB9;NDUFB4;NDUFV1;NDUFA2;NDUFAF1;NDUFS4;NDUFA9;NDUFS3;NDUFV2
mitochondrial respiratory chain complex assembly (GO:0033108)	0.0	0.636648249448506	3.1611998811639426	19.75%	NDUFA7;NDUFA1;NDUFA13;COX14;NDUFB8;NDUFB7;COX16;NDUFA8;NDUFS5;NDUFB3;NDUFB10;SCO2;NDUFB1;NDUFS8;NDUFS6;NDUFB6;COX17;NDUFAB1;NDUFA3;NDUFC1;NDUFB11;NDUFA6;NDUFB2;TMEM126A;NDUFA11;NDUFS7;NDUFA12;NDUFC2;NDUFB9;TIMMDC1;NDUFAF3;NDUFB4;UQCC2;NDUFV1;SDHAF2;NDUFA2;NDUFAF1;NDUFS4;COA3;NDUFAF8;ECSIT;PET100;UQCRFS1;NDUFA9;NDUFS3;NDUFAF4;BCS1L;NDUFV2
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	0.0	-0.49670367283567224	-2.7911084573761658	28.19%	CENPF;BUB1B;KNTC1;KIF11;CENPE;BUB1;BIRC5;CDC20;KIF2C;PLK1;DLGAP5;RCC1;NUSAP1;KIF4A;MAD2L1;CENPU;CCNB1;CDCA8;AURKB;ESPL1;EML4;TTK;SGO2;ZWINT;NUF2;CENPK;KNL1;STIL;GPSM2;CEP126;ITGB3BP;NDC80;KIF18A;CENPI;NEK6;CENPL;SGO1;TNKS;ZWILCH;INCENP;SKA1;SEH1L;KIF2A;NUP160;TAOK1;TACC3;SPDL1;RCC2;RANBP2;STMN1;EFHC1;CENPN;DYNC1H1;SETD2;AHCTF1
striated muscle contraction (GO:0006941)	0.0	0.7552328604612698	2.7394623552996697	8.24%	TCAP;TNNC1;ALDOA;TNNT2;SCN5A;TNNT1;SLC8A1;TPM1;SCN4B;KCNQ1;KCNH2;TNNI1
myofibril assembly (GO:0030239)	0.0	0.7691615511674436	2.7204852177983634	5.58%	TCAP;LMOD2;TNNT2;TMOD1;SYNPO2L;TNNT1;MYLK3;FHOD3;LMOD1;TPM1;CAPN3;TMOD2
