Term	fdr	es	nes	gene %	lead_genes
mitotic spindle organization (GO:0007052)	0.0	-0.6328845498540157	-3.552385485727585	23.34%	AURKB;BIRC5;CENPU;PLK1;MAD2L1;CDC20;CCNB1;PRC1;ZWINT;KIFC1;DLGAP5;TPX2;ITGB3BP;KIF23;BUB1B;KIF2C;NDC80;KIF11;CENPF;BUB1;CENPK;TTK;KNTC1;CDCA8;NUF2;SPC25;STMN1;CENPA;CENPM;SKA1;RCC1;KIF4A;CHEK2;SGO2;CENPN;ZWILCH;SPDL1;CENPP;NEK6;EFHC1;CENPO;SPC24;DYNLL1;NUP37;KIF2A;CENPH;EML4;INCENP;ZNF207;RAN;NUP107;AURKA;BUB3;XPO1;RAB11A;NDE1
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	0.0	-0.6340270067232451	-3.455004754386005	23.34%	NUSAP1;AURKB;BIRC5;CENPU;PLK1;MAD2L1;CDC20;CCNB1;ZWINT;DLGAP5;ITGB3BP;BUB1B;KIF2C;NDC80;KIF11;CENPF;BUB1;CENPK;TTK;KNTC1;CDCA8;NUF2;SPC25;STMN1;CENPA;CENPM;SKA1;RCC1;KIF4A;SGO2;CENPN;ZWILCH;SPDL1;CENPP;NEK6;EFHC1;TACC3;CENPO;SPC24;DYNLL1;NUP37;KIF2A;CENPH;EML4;INCENP;RAN;NUP107;AURKA;BUB3;XPO1;NDE1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	0.0	-0.5444739068397078	-2.967598090920182	39.16%	RPS29;RPL39;RPL37;RPS19;RPS15A;RPL27A;RPS23;RPL37A;RPL15;RPL31;RPS3;RPL28;EIF3E;RPS24;RPL18A;MAGOHB;RPL41;PABPC1;RPL13;RPS9;RPL14;RPL3;RPL30;RPL23A;RPL12;UBA52;RPL23;RPS20;RPL26;SMG9;RPS17;RPL7;RBM8A;RPL36A;SMG6;RPS2;RPS10;RPL18;RPL32;RPS21;RPL6;RPS27;RPS14;RPL7A;RPLP0;RPSA;RPS5;RPS3A;RPL11;RPL22;RPS4X;RPL4;RPL35A;RPS8;RPL36;RPS15;RPL27;RPL10A
mitotic sister chromatid segregation (GO:0000070)	0.0	-0.5881459519343439	-2.940592664339966	11.52%	CDK1;NUSAP1;PLK1;CCNB1;PRC1;ZWINT;KIFC1;DLGAP5;NCAPG;CDCA5;KIF23;KIF2C;SPAG5;NDC80;NCAPH;CENPK;CDCA8;CEP55;NCAPG2;SGO2;SPDL1;PSRC1
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	0.0	-0.5658634557045813	-2.9277037907010914	39.16%	RPS29;RPL39;RPL37;RPS19;RPS15A;RPL27A;RPS23;RPL37A;RPL15;RPL31;RPS3;RPL28;RPS24;RPL18A;RPL41;RPL13;RPS9;RPL14;RPL3;RPL30;RPL23A;RPL12;SEC61B;UBA52;RPL23;RPS20;RPL26;RPS17;RPL7;RPL36A;RPS2;RPS10;RPL18;RPL32;RPS21;RPL6;RPS27;RPS14;RPL7A;RPLP0;RPSA;RPS5;RPS3A;RPL11;RPL22;RPS4X;RPL4;RPL35A;RPS8;SRP72;RPL36;RPS15;RPL27;SRP19;RPL10A
cotranslational protein targeting to membrane (GO:0006613)	0.0	-0.5593709278743407	-2.9215886684785555	39.16%	RPS29;RPL39;RPL37;RPS19;RPS15A;RPL27A;RPS23;RPL37A;RPL15;RPL31;RPS3;RPL28;RPS24;RPL18A;RPL41;RPL13;RPS9;RPL14;RPL3;SSR1;RPL30;RPL23A;RPL12;UBA52;RPL23;RPS20;RPL26;RPS17;RPL7;RPL36A;RPS2;RPS10;RPL18;RPL32;RPS21;RPL6;SSR2;RPS27;RPS14;RPL7A;RPLP0;RPSA;RPS5;RPS3A;RPL11;RPL22;RPS4X;RPL4;RPL35A;ARL6IP1;RPS8;SRP72;RPL36;TRAM1;RPS15;RPL27;SRP19;RPL10A
cytoplasmic translation (GO:0002181)	0.0	-0.5361616219086631	-2.890342347825911	39.16%	RPS29;RPL39;RPL22L1;RPL37;RPS19;RPS15A;RPL27A;RPS23;RPL37A;RPL15;RPL31;RPS3;RPL28;RPS24;EIF3M;RPL18A;RPL41;RPL13;RPS9;RPL14;RPL3;RPL30;RPL23A;RPL12;UBA52;RPL23;RPS20;RPL26;RPS17;RPL7;EIF4A1;RPL36A;RPS2;RPS10;RPL18;RPL32;RPS21;RPL6;RPS27;RPS14;RPL7A;RPLP0;RPSA;RPS5;RPS3A;RPL11;RPL22;RPS4X;RPL4;RPL35A;RPS8;RPL36;RPS15;RPL27;RPL10A
muscle contraction (GO:0006936)	0.0	0.724873163725114	2.8426313611980047	14.40%	MYH7;TNNI3;ACTA1;TCAP;DES;MYBPC3;MYH6;CKMT2;HRC;ACTN2;CASQ2;SMPX;ANKRD2;LMOD2;MYOM2;MYOM1;MYL3;MYOM3;TTN;LMOD3;TRDN;KCNIP2;TNNC1;MYH11;CRYAB;TNNT3;FXYD1;CAV3;SLC8A1;MYOT;TNNT2;KLHL41;SORBS1;DYSF;LMOD1;SGCA;ACTG2;KCNJ12;MYL7;HCN4;GNAO1;TMOD1;ADRA1A
centromere complex assembly (GO:0034508)	0.0	-0.7126136275674124	-2.8228109523925267	20.55%	CENPW;CENPU;DLGAP5;ITGB3BP;CENPF;CENPK;HELLS;CENPA;CENPM;OIP5;CENPN;CENPP;NPM1;CENPO;CENPH;RBBP4;NASP
striated muscle contraction (GO:0006941)	0.0	0.8047110498271103	2.7852815828737802	8.60%	MYH7;TNNI3;TCAP;MYBPC3;MYH6;CSRP3;CASQ2;SMPX;ATP1A2;MYL3;TTN;LMOD3;SCN5A;TNNC1;TNNT3;MYH14;SCN4B;SLC8A1;KCNQ1;RYR2;TNNT2;KLHL41
protein targeting to ER (GO:0045047)	0.0	-0.5323267293345182	-2.7505519818218	39.16%	RPS29;RPL39;RPL37;RPS19;RPS15A;RPL27A;RPS23;RPL37A;RPL15;RPL31;RPS3;RPL28;RPS24;RPL18A;RPL41;RPL13;RPS9;RPL14;RPL3;RPL30;RPL23A;RPL12;UBA52;RPL23;RPS20;RPL26;RPS17;RPL7;RPL36A;RPS2;RPS10;RPL18;RPL32;RPS21;SPCS2;RPL6;RPS27;RPS14;RPL7A;RPLP0;RPSA;RPS5;RPS3A;RPL11;RPL22;RPS4X;RPL4;RPL35A;RPS8;SRP72;RPL36;RPS15;RPL27;SRP19;RPL10A
heart contraction (GO:0060047)	0.0	0.8078797141437783	2.7367318223493933	7.13%	MYH7;TNNI3;TCAP;MYBPC3;MYH6;CSRP3;CASQ2;ATP1A2;MYL3;TTN;SGCG;SCN5A;TRDN;TNNC1;SGCD;SCN4B;SLC8A1;KCNQ1;RYR2;TNNT2
nuclear-transcribed mRNA catabolic process (GO:0000956)	0.0	-0.49320380487695686	-2.7354306941924977	39.16%	RPS29;RPL39;RPL37;RPS19;RPS15A;RPL27A;DCP1B;RPS23;RPL37A;RPL15;RPL31;DCP2;RPS3;RPL28;EIF3E;RPS24;RPL18A;MAGOHB;RPL41;PABPC1;RPL13;RPS9;RPL14;RPL3;RPL30;CNOT2;CNOT7;RPL23A;RPL12;ERI1;UBA52;RPL23;RPS20;RPL26;SMG9;RPS17;RPL7;RBM8A;RPL36A;SMG6;RPS2;RPS10;RPL18;RPL32;RPS21;RPL6;RPS27;RPS14;RPL7A;RPLP0;ATM;RPSA;RPS5;RPS3A;RPL11;RPL22;RPS4X;RPL4;RPL35A;RPS8;SAMD4B;CNOT1;RPL36;RPS15;POLR2G;RPL27;RPL10A
