Term	fdr	es	nes	gene %	lead_genes
striated muscle contraction (GO:0006941)	0.0	0.8082017628537025	2.8397084209360046	11.14%	MYH7;TNNI3;TCAP;MYL3;MYBPC3;TNNC1;MYH6;CSRP3;CASQ2;SMPX;ATP1A2;RYR2;TNNT1;TNNT2;LMOD3;KCNH2;TNNT3;MYH14;SCN5A;KCNQ1;KLHL41;SCN1B;RCSD1;TNNI1;SCN4B;MYL4
myofibril assembly (GO:0030239)	0.0	0.7781645635414665	2.7850897761915268	3.34%	MYL2;TCAP;MYH6;CSRP3;ACTN2;LMOD2;MYOM2;ACTC1;SYNPO2L;TNNT1;TNNT2;MYLK3;LMOD3;PGM5;TMOD1;OBSCN;CASQ1;MYPN;TNNT3
regulation of heart contraction (GO:0008016)	0.0	0.7229074420758219	2.771007577587346	15.17%	DES;MYH6;HRC;CASQ2;HSPB7;ATP1A2;NKX2-5;NPPA;KCNIP2;ATP1A3;RYR2;TNNT2;CYP2J2;FXYD1;FXYD6;CASQ1;TNNI3K;CAV3;CALM3;PLN;KCNQ1;RNF207;ABCC9;TBX2;GJA5;ATP1B2;TRDN;NPR1;KCNJ11;CACNA1H;S100A1;ACE2;DMPK;CORIN;KCNJ12;ATP2A2;HCN4
actin-myosin filament sliding (GO:0033275)	0.0	0.8375515695639691	2.76132249312227	3.34%	MYL2;DES;MYH7;TNNI3;TCAP;MYL3;MYBPC3;TNNC1;MYH6;ACTN2;ACTA1;ACTC1;TNNT1;TNNT2;TMOD1;TNNT3
muscle filament sliding (GO:0030049)	0.0	0.8375515695639691	2.76132249312227	3.34%	MYL2;DES;MYH7;TNNI3;TCAP;MYL3;MYBPC3;TNNC1;MYH6;ACTN2;ACTA1;ACTC1;TNNT1;TNNT2;TMOD1;TNNT3
heart contraction (GO:0060047)	0.0	0.7961572834514745	2.755223384855693	11.14%	MYL2;MYH7;TNNI3;TCAP;MYL3;MYBPC3;TNNC1;MYH6;CSRP3;CASQ2;ATP1A2;ACTC1;RYR2;TNNT2;KCNH2;SCN5A;KCNQ1;SCN1B;TRDN;TNNI1;SCN4B;ACE;MYL4
sarcomere organization (GO:0045214)	0.0	0.8303720658315603	2.7102827825800406	3.34%	TCAP;MYH6;CSRP3;ACTN2;LMOD2;MYOM2;SYNPO2L;TNNT1;TNNT2;MYLK3;OBSCN;CASQ1;MYPN;TNNT3
muscle contraction (GO:0006936)	0.0	0.6659154827555978	2.6825773388786125	16.67%	MYL2;DES;MYH7;TNNI3;TCAP;MYL3;MYBPC3;TNNC1;MYH6;MYL7;HRC;ACTN2;CASQ2;SMPX;ANKRD2;LMOD2;MYOM2;ACTA1;CKMT2;ACTC1;KCNIP2;MYOM3;TNNT1;TNNT2;LMOD3;TMOD1;MYH11;FXYD1;TNNT3;PABPN1;CAV3;KLHL41;MYOM1;TRDN;TNNI1;SGCA;CACNA1H;MYL4;SORBS1;SNTA1;SMTN;KCNJ12;HCN4;GNAO1;ADRA1A
cardiac muscle contraction (GO:0060048)	0.0	0.7895765177442187	2.6212212597178532	11.14%	MYH7;TNNI3;TCAP;MYL3;MYBPC3;TNNC1;MYH6;CSRP3;CASQ2;ATP1A2;RYR2;TNNT2;KCNH2;SCN5A;KCNQ1;SCN1B;TNNI1;SCN4B;MYL4
cardiac muscle tissue morphogenesis (GO:0055008)	0.0	0.7785729123417838	2.5329167537530743	4.07%	MYL2;MYH7;TNNI3;TCAP;MYL3;MYBPC3;TNNC1;MYH6;NKX2-5;ACTC1;TNNT2;HAND1
cotranslational protein targeting to membrane (GO:0006613)	0.01114612286672672	-0.383666542998696	-2.5059497580534456	22.84%	RPS19;RPS29;RPS23;RPS15A;RPL31;SSR1;RPL37;RPL15;SEC62;RPS14;RPL32;RPS3;RPL27A;SRP19;RPL34;RPS6;UBA52;RPL36;RPL28;RPL37A;RPL35A;SSR2;RPS4Y1;RPS5;RPL14;RPS4X;RPL30;RPL11;RPL12;RPL3;RPS8;RPLP1;RPLP0;RPL23A;RPL23;RPS24;RPS21;RPS20;RPL26;SRP72;ARL6IP1;RPLP2;RPS12;RPL27;RPL35;RPS13;RPL22
regulation of blood circulation (GO:1903522)	0.0	0.7949549203252978	2.4998789617135686	16.12%	DES;MYH6;HSPB7;KCNIP2;TNNT2;CYP2J2;FXYD1;CAV3;PLN;KCNQ1;TBX2;CACNA1H;S100A1;ACE;ACE2;DMPK;KCNJ12;AGER
nucleocytoplasmic transport (GO:0006913)	0.01226073515339939	-0.5442603074086447	-2.4560229978687125	32.63%	NXT2;SNRPD1;GEMIN6;RSRC1;PHAX;SNRPD2;SNRPF;NEMF;ATXN1;GEMIN2;SNUPN;SNRPE;SNRPG;GEMIN7;NCBP2;SNRPD3;NUTF2
