Term	fdr	es	nes	gene %	lead_genes
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	0.0	-0.69636216865852	-4.101488026066457	8.74%	CDC20;PLK1;AURKB;BIRC5;KIF2C;NUSAP1;ZWINT;MAD2L1;NDC80;CDCA8;CCNB1;CENPU;CENPK;NUF2;BUB1;KIF11;KIF4A;CENPM;CENPF;DLGAP5;BUB1B;TTK;SPC25;CENPA;CENPI;STMN1;SGO2;ITGB3BP;CENPN;KNTC1;SPDL1;KIF18A;STIL;ZWILCH;CENPL;GPSM2;AURKA;ESPL1;CENPE;RCC1;SGO1;KNL1;TACC3;BUB3;INCENP;NEK6;CENPO;SPC24;DYNLL1;SEH1L;CENPP
mitotic spindle organization (GO:0007052)	0.0	-0.6701414260937063	-3.889082937145393	8.74%	CDC20;PLK1;AURKB;TPX2;BIRC5;KIF2C;PRC1;ZWINT;KIF23;MAD2L1;NDC80;CDCA8;CCNB1;CENPU;CENPK;NUF2;BUB1;KIF11;KIF4A;CENPM;CENPF;DLGAP5;BUB1B;TTK;SPC25;CENPA;KIFC1;CENPI;STMN1;SGO2;ITGB3BP;CENPN;KNTC1;SPDL1;KIF18A;STIL;ZWILCH;CENPL;GPSM2;AURKA;CENPE;RCC1;SGO1;KNL1;BUB3;INCENP;NEK6;CENPO;SPC24;CHEK2;DYNLL1;SEH1L;CENPP
DNA replication (GO:0006260)	0.0	-0.63767826257763	-3.6163070284538605	32.41%	CDK1;ORC6;CDC6;CDC45;DBF4;ORC1;BRIP1;CDC7;WDHD1;CHEK1;TIPIN;TIMELESS;RHNO1;MCM2;POLE2;TOP1MT;RPA3;RECQL4;MCM4;MCM8;RBBP8;FEN1;MCM6;MCM5;RFC5;POLA2;RNASEH2A;RFC4;BARD1;CDK2;BRCA1;PIF1;NAP1L1;RFC3;POLA1;DNA2;DONSON;MCM7;CDK2AP1;RFC2;RMI1;KIN;TOP3A;ORC5;MRE11;RAD1;RFC1;MCMBP;SET;POLE;TOPBP1;RPA1;GRWD1;MCM3;FAM111A;POLD1;POLE3;WRN;RPAIN;BAZ1A
mitotic sister chromatid segregation (GO:0000070)	0.0	-0.664504837882274	-3.5832400266874513	13.39%	CDK1;PLK1;KIF2C;CEP55;NUSAP1;PRC1;ZWINT;KIF23;NDC80;CDCA8;CCNB1;NCAPG;CENPK;CDCA5;NCAPH;SPAG5;DLGAP5;KIFC1;KIF18B;NCAPG2;SGO2;KIF14;SPDL1;KIF18A;ESPL1;PSRC1;CENPE;SGO1;SEH1L;DSN1;NCAPD2;RAN;SMC4;SMC2;KNSTRN
regulation of cell cycle process (GO:0010564)	0.0	-0.6391459688033625	-3.488600239890422	6.40%	PLK1;AURKB;PRC1;KIF20A;MKI67;BUB1;KIF11;NEK2;PKMYT1;SPAG5;RACGAP1;DBF4;KIF20B;FBXO5;ECT2;AURKA;PLK4;CHEK1;CDC25C;TIPIN;RCC1;FSD1;BORA
mitotic nuclear division (GO:0140014)	0.0	-0.6323305523293161	-3.4147011370941445	14.75%	PLK1;TPX2;NUSAP1;ZWINT;NDC80;CDCA8;CENPK;KIF11;SPAG5;KIFC1;KIF18B;NCAPG2;SGO2;KIF18A;ESPL1;UBE2S;SGO1;CHEK2;DSN1;RAN;SMC4;KNSTRN;KIF2A;MZT1
DNA-dependent DNA replication (GO:0006261)	0.0	-0.6047324872720361	-3.404651162849135	32.58%	GINS2;ORC6;CDC6;GINS4;CDC45;CDT1;GINS1;DBF4;ORC1;CDC7;WDHD1;PRIM2;HMGA1;MCM2;POLE2;RPA3;PRIM1;RECQL4;GMNN;MCM4;MCM8;MCM6;MCM5;RFC5;POLA2;RFC4;PSMB2;CDK2;PSMA5;RFC3;POLA1;DNA2;MCM7;CDK2AP1;PSMA2;RFC2;POLE4;PSMA4;POLD3;PSMD9;PSME3;RECQL;NOC3L;ORC5;GINS3;RFC1;UBA52;MCMBP;DDX21;POLE;TOPBP1;RPA1;PSMD5;UBB;MCM3;PSMD12;POLD1;POLE3;WRN;RPAIN;BAZ1A;PSMD14
DNA metabolic process (GO:0006259)	0.0	-0.5111125689972243	-3.327638463071294	31.65%	TYMS;CDK1;TOP2A;RAD51AP1;ORC6;UHRF1;CDC6;CDC45;CDT1;NABP1;FANCA;DBF4;ORC1;RAD54L;HELLS;CDC7;DCLRE1B;WDHD1;PRIM2;RAD18;CHEK1;NT5E;TIMELESS;DMC1;TDP1;MCM2;POLE2;TOP1MT;RPA3;PRIM1;RECQL4;GMNN;KPNA2;MCM4;MCM8;RBBP8;FEN1;LIG1;MCM6;MCM5;RFC5;FANCG;POLA2;UBE2V2;GEN1;RNASEH2A;RFC4;BARD1;HMGB3;RAD51D;CDK2;PCNA;UBE2T;BRCA1;RAN;NUDT1;TOP3B;FANCC;RFC3;POLA1;DNA2;MSH2;MSH6;MCM7;NPM1;RFC2;DNMT1;POLE4;HMGB1;POLH;POLD3;INIP;HMGB2;RIF1;RAD51C;RECQL;TOP3A;NOC3L;ORC5;MRE11;PRKDC;RAD1;SUMO1;RFC1;UBA52;DDX21;POLE;GTF2H3;UBE2N;TOPBP1;RPA1;UBB;NABP2;SMC1A;SMUG1;MNAT1;MCM3;POLD1;POLE3;XRCC5;PTGES3;WRN
sister chromatid segregation (GO:0000819)	0.0	-0.7525589209449443	-3.216332055106178	13.39%	TOP2A;PLK1;NUSAP1;ZWINT;NDC80;CDCA8;CENPK;SPAG5;KIFC1;KIF18B;NCAPG2;SGO2;KIF18A;ESPL1;SGO1;DSN1;RAN;SMC4;KNSTRN
mitotic metaphase plate congression (GO:0007080)	0.0	-0.7153847747561862	-3.209884042833594	8.48%	KIF2C;CEP55;NDC80;CDCA8;CCNB1;CDCA5;NUF2;CDT1;KIFC1;KIF14;SPDL1;KIF18A;PSRC1;CENPE;SEH1L
mitotic cell cycle phase transition (GO:0044772)	0.0	-0.5156226942109634	-3.198033109404951	8.16%	CDK1;FOXM1;CDKN2A;PLK1;CCNB2;MELK;CCNB1;NEK2;PKMYT1;BCAT1;CDKN3;E2F1;CCNE2;CCNA2;DBF4;CCNF;HAUS7;CEP78;INHBA;CDC7;AURKA;PLK4;CDC25A;CDC25C;UBE2S;CEP76;RCC1;MASTL;BORA;CEP41;TACC3;HAUS8;SKP2;EIF4E;PHLDA1;CHEK2;DYNLL1
DNA replication initiation (GO:0006270)	0.0	-0.6857494384491073	-3.181422213144334	9.94%	ORC6;CDC6;CDC45;CDT1;DBF4;ORC1;CDC7;PRIM2;MCM2;POLE2;RPA3;PRIM1;GMNN;MCM4;MCM8;MCM6;MCM5;POLA2;CDK2
rRNA processing (GO:0006364)	0.0	-0.5019326244683949	-3.167864168992919	43.29%	RPL39;RPL37;LSM6;ERI1;EXOSC3;WDR12;RRP15;WDR3;KRR1;EBNA1BP2;RPL41;RPL37A;TEX10;DDX10;RCL1;EXOSC2;MRTO4;UTP4;NOP56;POP4;MPHOSPH6;UTP15;FCF1;RPS19;EXOSC9;RPL27A;EIF6;RRP7A;UTP20;RPL31;C1D;DKC1;DCAF13;RPL14;PRKDC;UTP14A;RPL22;HEATR1;WDR43;UBA52;UTP18;RPL28;EMG1;RPL12;PES1;SRFBP1;RPL23A;RPL30;UTP11;RPL15;WDR36;DIS3;MAK16;RRP1;RIOK2;RPL26;BYSL;RRP36;LAS1L;RRP1B;RPL23;DDX27;DHX37;RSL1D1;MRM2;NOB1;EXOSC8;RPL32;NOP2;NVL;RPL18A;UTP6;WDR74;RPL13;LYAR;WDR75;NOL8;RPL6;NSA2;EXOSC1;SNU13;NOP58;NOP14;TFB1M
centromere complex assembly (GO:0034508)	0.0	-0.6795566519427411	-3.1483775188419743	8.74%	CENPW;CENPU;CENPK;CENPM;CENPF;DLGAP5;CENPA;CENPI;ITGB3BP;CENPN;OIP5;HELLS;CENPL;CENPE;KNL1;CENPO;CENPP
double-strand break repair via homologous recombination (GO:0000724)	0.0	-0.6331100076874889	-3.0923579202790603	17.17%	GINS2;RAD51AP1;GINS4;CDC45;NABP1;RAD54L;CDC7;MMS22L;AUNIP;MCM2;RPA3;RECQL4;MCM4;MCM8;RBBP8;RFWD3;FEN1;MCM6;MCM5;GEN1;RAD51D;BRCA1;SEM1;PALB2;MCM7;RMI1;TONSL
G1/S transition of mitotic cell cycle (GO:0000082)	0.0	-0.6032038588514141	-3.061058317893434	9.98%	TYMS;RRM2;CDKN2A;CDC6;BCAT1;CDC45;CDKN3;E2F1;CDT1;CCNE2;DBF4;ORC1;INHBA;CDC7;FBXO5;CDC25A;DHFR;RCC1;CDK15;EIF4E;CDK2;PCNA
anaphase-promoting complex-dependent catabolic process (GO:0031145)	0.0	-0.5805540679900073	-3.0469619880096994	10.76%	PTTG1;CDK1;CDC20;PLK1;AURKB;MAD2L1;CCNB1;BUB1B;FBXO5;AURKA;UBE2S;BUB3;SKP2;PSMB2;CDK2;PSMA5
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	0.0	-0.8268296131563403	-3.019131020841558	6.92%	CDC20;PLK1;ZWINT;MAD2L1;BUB1;CENPF;TRIP13;BUB1B;TTK;KNTC1;FBXO5;BUB3
regulation of mitotic cell cycle phase transition (GO:1901990)	0.0	-0.5020150961969762	-3.0123482165662905	10.76%	CDK1;CDC20;PLK1;TPX2;MAD2L1;CCNB1;CDC6;NEK2;CENPF;HMMR;BUB1B;E2F1;KNTC1;HAUS7;KIF14;CEP78;FBXO5;AURKA;PLK4;UBE2S;CENPE;CEP76;CEP41;BUB3;HAUS8;NEK6;DYNLL1;PSMB2;CDK2;PSMA5
regulation of cell cycle G2/M phase transition (GO:1902749)	0.0	-0.5989644462520853	-2.961635728184246	15.92%	CDK1;PLK1;TPX2;NEK2;CENPF;HMMR;GTSE1;HAUS7;KIF14;CEP78;AURKA;PLK4;CEP76;CEP41;HAUS8;DYNLL1;CDK2;TP53;HAUS1;HAUS6;NPM1
regulation of cytokinesis (GO:0032465)	0.0	-0.6378316349282297	-2.9381659350781573	6.23%	PLK1;AURKB;PRC1;KIF23;KIF20A;CDC6;RACGAP1;E2F7;KIF20B;KIF14;ECT2;AURKA;PLK4;CIT;FSD1
chromatin remodeling at centromere (GO:0031055)	0.0	-0.6708059097887733	-2.9238078830799896	15.92%	CENPW;CENPU;CENPK;CENPM;CENPA;CENPI;ITGB3BP;CENPN;OIP5;HELLS;CENPL;KNL1;CENPO;CENPP;CENPH;MIS18BP1;NPM1
